Wall time,Step,Reward
1715367501,403328,-113.6593857
1715367533,403456,-113.271286
1715367564,403584,-113.3576736
1715367596,403712,-112.9294586
1715367627,403840,-112.4024506
1715367659,403968,-111.9280014
1715367691,404096,-111.1319962
1715367722,404224,-111.2687683
1715367754,404352,-110.7815933
1715367786,404480,-110.2751694
1715367817,404608,-108.9630051
1715367849,404736,-108.6948242
1715367880,404864,-107.8376846
1715367912,404992,-107.4807892
1715367944,405120,-107.2472839
1715367975,405248,-107.1913605
1715368007,405376,-106.9642029
1715368038,405504,-106.3082657
1715368070,405632,-105.2571411
1715368102,405760,-104.2914124
1715368133,405888,-103.1052628
1715368165,406016,-103.0374985
1715368196,406144,-101.9702911
1715368228,406272,-101.4928741
1715368260,406400,-100.0402756
1715368291,406528,-98.55761719
1715368323,406656,-98.6595993
1715368354,406784,-97.85002136
1715368386,406912,-97.40361023
1715368418,407040,-96.6822052
1715368449,407168,-95.21011353
1715368481,407296,-94.75692749
1715368512,407424,-94.1891098
1715368544,407552,-94.12757874
1715368579,407680,-94.26093292
1715368610,407808,-93.69136047
1715368642,407936,-94.29613495
1715368674,408064,-93.85890961
1715368705,408192,-93.37640381
1715368737,408320,-92.86187744
1715368768,408448,-92.6960144
1715368800,408576,-93.1921463
1715368832,408704,-92.89011383
1715368863,408832,-93.16173553
1715368895,408960,-93.1765213
1715368926,409088,-92.57209778
1715368958,409216,-92.56479645
1715368990,409344,-91.79468536
1715369021,409472,-91.49738312
1715369053,409600,-91.70257568
1715369084,409728,-91.51431274
1715369116,409856,-91.28554535
1715369148,409984,-91.5326004
1715369179,410112,-91.62454987
1715369211,410240,-91.41172791
1715369242,410368,-91.81186676
1715369274,410496,-91.9693222
1715369306,410624,-91.41182709
1715369337,410752,-91.38303375
1715369369,410880,-91.55903625
1715369400,411008,-91.33609772
1715369432,411136,-91.78509521
1715369464,411264,-92.52557373
1715369495,411392,-92.23745728
1715369527,411520,-92.26630402
1715369559,411648,-92.40137482
1715369590,411776,-92.35411072
1715369622,411904,-92.39000702
1715369653,412032,-92.67734528
1715369685,412160,-92.61500549
1715369717,412288,-92.57718658
1715369748,412416,-91.82629395
1715369780,412544,-91.87184906
1715369811,412672,-91.82085419
1715369843,412800,-91.85636902
1715369875,412928,-91.57235718
1715369906,413056,-90.96101379
1715369938,413184,-91.03200531
1715369969,413312,-91.50603485
1715370001,413440,-91.9549408
1715370033,413568,-91.40359497
1715370064,413696,-91.02822876
1715370096,413824,-90.25915527
1715370127,413952,-90.08908844
1715370159,414080,-88.40093231
1715370191,414208,-87.79772186
1715370222,414336,-87.2696228
1715370254,414464,-86.67786407
1715370285,414592,-86.24487305
1715370317,414720,-86.09466553
1715370349,414848,-86.30721283
1715370380,414976,-85.58637238
1715370412,415104,-85.17103577
1715370444,415232,-84.68963623
1715370475,415360,-84.29367065
1715370507,415488,-84.00428772
1715370538,415616,-84.30796051
1715370570,415744,-84.13831329
